term,n_grams,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,log_odds_delta,z_score,associated_period
machine,1,56,177,27,120,1.4078440756727284,9.839059759535255,Pre-2023
children,1,64,343,22,93,0.9627943475604575,7.855415893371653,Pre-2023
curriculum,1,60,341,26,222,0.9152643268674545,7.301375024910372,Pre-2023
learn,1,29,94,17,79,1.384593424122758,6.993604467048252,Pre-2023
smart,1,19,41,7,28,1.7442197341583343,6.629020915604902,Pre-2023
book,1,16,27,3,14,1.966624777797115,6.532738333880536,Pre-2023
health care,2,20,50,3,25,1.6126404139853054,6.462420931093218,Pre-2023
people,1,29,112,14,85,1.2338463635254602,6.4189623894042676,Pre-2023
e-learning,1,10,6,1,4,2.9146601332822915,5.913698664384303,Pre-2023
design,1,88,819,42,499,0.540156737991901,5.687395075748142,Pre-2023
intention learn,2,9,3,3,3,3.441031515262985,5.516224700869742,Pre-2023
concepts,1,39,243,25,181,0.8412202015696773,5.4943707827639825,Pre-2023
citizens,1,15,43,12,29,1.4913095719793974,5.303487937331447,Pre-2023
game,1,18,64,4,27,1.3040845856226326,5.271495590417347,Pre-2023
conversational,1,15,44,4,33,1.471113561600336,5.252744129383214,Pre-2023
recognition,1,14,40,7,31,1.4941868554762507,5.130545314653649,Pre-2023
projects,1,15,48,7,39,1.3950811768549407,5.056735296928376,Pre-2023
conversational agents,2,8,10,3,7,2.240815779213097,4.92923912811929,Pre-2023
teach,1,19,84,15,64,1.1193300947596185,4.820264883445516,Pre-2023
spaces,1,10,22,4,16,1.7263960478950988,4.777510265240596,Pre-2023
concept,1,19,86,14,75,1.0996980740856994,4.754155479529617,Pre-2023
computer,1,19,88,11,71,1.0805836908502444,4.689278526297007,Pre-2023
activities,1,36,262,19,172,0.7205917799729153,4.643536317375751,Pre-2023
design considerations,2,6,4,4,3,2.818270353681781,4.565825326386319,Pre-2023
basic,1,22,124,18,90,0.9203098968133112,4.439432507303179,Pre-2023
computer science,2,14,56,7,44,1.20333499432075,4.375126598351745,Pre-2023
modelling,1,10,29,3,26,1.4809001770163164,4.308769344377694,Pre-2023
agents,1,12,43,6,36,1.2971084916942885,4.286741916861167,Pre-2023
different,1,32,240,18,197,0.6975734307090189,4.260386719056291,Pre-2023
ethical issues,2,13,51,9,50,1.2197637306875775,4.259763928292861,Pre-2023
present,1,21,126,19,119,0.8703354190100736,4.144916199195727,Pre-2023
guide future,2,5,4,5,4,2.6510895953699087,4.123662759182153,Pre-2023
prototypes,1,5,4,2,4,2.6510895953699087,4.123662759182153,Pre-2023
mobile,1,6,9,3,9,2.073580541728944,4.114368430226508,Pre-2023
works,1,8,20,8,20,1.6120328914032171,4.0856541185133555,Pre-2023
public understanding,2,5,5,5,5,2.4458722712766683,4.03137723581343,Pre-2023
co-creative,1,5,5,1,5,2.4458722712766683,4.03137723581343,Pre-2023
understandings,1,7,15,5,14,1.749889048819341,4.031374796101447,Pre-2023
conversation,1,6,10,4,10,1.9774112499630272,4.012067868330183,Pre-2023
hour,1,6,10,3,8,1.9774112499630272,4.012067868330183,Pre-2023
service,1,11,43,3,31,1.2227045256529294,3.9255262743061263,Pre-2023
design process,2,6,11,4,9,1.890765227128921,3.9116646184411628,Pre-2023
stem,1,18,106,7,39,0.8850768500474464,3.89024187596156,Pre-2023
solve,1,8,23,8,19,1.4884096083926286,3.8675560354848906,Pre-2023
public,1,29,230,18,135,0.6554055187773677,3.848268034047651,Pre-2023
families,1,5,7,3,5,2.136680981110336,3.8122459184189084,Pre-2023
world,1,21,141,18,116,0.7820229097003626,3.795877026775233,Pre-2023
problems,1,14,72,9,56,0.9941663965335712,3.7679314627166436,Pre-2023
concepts machine,2,4,2,4,2,3.0797226774912065,3.7423864332212307,Pre-2023
set competencies,2,4,2,3,2,3.0797226774912065,3.7423864332212307,Pre-2023
introduce,1,11,47,8,45,1.1475526394243518,3.7390020588602404,Pre-2023
everyday,1,14,73,14,61,0.9829219603092989,3.7338263064871415,Pre-2023
primary secondary,2,6,13,3,12,1.7399040361972808,3.718834762979941,Pre-2023
years old,2,4,3,4,3,2.710276412341317,3.705071790250899,Pre-2023
automatic,1,4,3,2,3,2.710276412341317,3.705071790250899,Pre-2023
understand,1,23,171,19,156,0.7038551093108127,3.6388891252363074,Pre-2023
design activities,2,4,4,4,3,2.4458178068807612,3.605693123951491,Pre-2023
iii,1,5,9,5,9,1.9073648757687938,3.5889055517386095,Pre-2023
diverse backgrounds,2,5,9,2,8,1.9073648757687938,3.5889055517386095,Pre-2023
design curriculum,2,4,1,4,1,3.688744713300183,3.584418084785632,Pre-2023
upcoming,1,4,1,4,1,3.688744713300183,3.584418084785632,Pre-2023
care,1,23,174,4,82,0.6906823746535871,3.5816609841023,Pre-2023
competencies,1,36,342,19,204,0.5237261567771672,3.5405442200899992,Pre-2023
course,1,31,279,11,143,0.562424428251119,3.4930761397824712,Pre-2023
app,1,4,5,4,3,2.2406004826523844,3.485163528481203,Pre-2023
old,1,4,5,4,5,2.2406004826523844,3.485163528481203,Pre-2023
unstructured,1,4,5,1,4,2.2406004826523844,3.485163528481203,Pre-2023
explanations,1,11,53,3,25,1.0475421899550383,3.4815239815859895,Pre-2023
digital entrepreneurship,2,5,10,1,4,1.8119596516648322,3.4814129954318163,Pre-2023
representations,1,5,10,2,8,1.8119596516648322,3.4814129954318163,Pre-2023
social good,2,5,10,4,7,1.8119596516648322,3.4814129954318163,Pre-2023
classification,1,8,30,5,23,1.25796867095905,3.420464956972746,Pre-2023
principles,1,20,148,16,115,0.7073019090608827,3.407111358306288,Pre-2023
spread,1,5,11,3,11,1.7261391649331337,3.3777072374398487,Pre-2023
concrete,1,5,11,4,10,1.7261391649331337,3.3777072374398487,Pre-2023
recommend,1,6,17,4,16,1.5011531000313099,3.3694322546943325,Pre-2023
initial,1,12,65,9,60,0.951931248387937,3.3690535678205804,Pre-2023
augmented reality,2,4,6,1,6,2.073474191860429,3.3591954605905467,Pre-2023
lives,1,13,75,13,67,0.901253360774354,3.354963469986741,Pre-2023
backgrounds,1,9,39,6,34,1.135644760030571,3.354762409033497,Pre-2023
designing,1,17,117,14,104,0.762727273578939,3.3451433213249113,Pre-2023
entrepreneurship,1,8,32,1,12,1.203054539681773,3.3065140275840914,Pre-2023
project,1,18,130,11,84,0.725749863525901,3.3025863051088655,Pre-2023
finnish,1,5,12,2,8,1.6482536049897725,3.2780161430247676,Pre-2023
conceptualizations,1,5,12,2,10,1.6482536049897725,3.2780161430247676,Pre-2023
basic concepts,2,5,12,5,11,1.6482536049897725,3.2780161430247676,Pre-2023
understanding,1,63,773,43,550,0.3485586274381509,3.2770267060233063,Pre-2023
preliminary,1,10,50,10,47,1.0170355170358851,3.2426027890364235,Pre-2023
high-level,1,4,7,4,7,1.932905391848955,3.234440448406366,Pre-2023
beijing,1,4,7,2,4,1.932905391848955,3.234440448406366,Pre-2023
increasingly popular,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
present design,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
contextualized,1,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
near future,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
