term,z_score,log_odds_delta,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,associated_period
health care,7.296811864474959,1.8417447695958025,20,50,3,25,Pre-2023
intention learn,5.852946859550624,3.698263995227606,9,3,3,3,Pre-2023
conversational agents,5.39638423545644,2.474044538718701,8,10,3,7,Pre-2023
computer science,5.07012416272462,1.4166122922827702,14,56,7,44,Pre-2023
ethical issues,4.9271489214967055,1.432933622691574,13,51,9,50,Pre-2023
design considerations,4.913565386803398,3.0599758406253716,6,4,4,3,Pre-2023
guide future,4.456011512069292,2.889122462016232,5,4,5,4,Pre-2023
public understanding,4.3814914483822465,2.6804228033228794,5,5,5,5,Pre-2023
design process,4.335971614756855,2.11613339007483,6,11,4,9,Pre-2023
years old,3.996402236596454,2.9486007509179313,4,3,4,3,Pre-2023
digital entrepreneurship,3.870937528115422,2.035035854354348,5,10,1,4,Pre-2023
social good,3.870937528115422,2.035035854354348,5,10,4,7,Pre-2023
augmented reality,3.6946295167532606,2.3008703805367157,4,6,1,6,Pre-2023
basic concepts,3.6735100878874265,1.8677827430263125,5,12,5,11,Pre-2023
everyday lives,3.4897723983598317,1.7277733448196884,5,14,5,14,Pre-2023
increasingly popular,3.4717194965731797,3.0576015090850293,3,2,3,2,Pre-2023
near future,3.4717194965731797,3.0576015090850293,3,2,3,2,Pre-2023
different countries,3.3919094896914386,2.6788596781584975,3,3,3,3,Pre-2023
early age,3.3919094896914386,2.6788596781584975,3,3,3,3,Pre-2023
conversational agent,3.3919094896914386,2.6788596781584975,3,3,2,3,Pre-2023
competencies required,3.3492249460511436,1.926055347919533,4,9,4,9,Pre-2023
technology engineering,3.3492249460511436,1.926055347919533,4,9,2,9,Pre-2023
science technology,3.3492249460511436,1.926055347919533,4,9,2,9,Pre-2023
underrepresented groups,3.2662709357250237,2.4098997957679114,3,4,2,4,Pre-2023
big ideas,3.242121632390961,1.829829405244472,4,10,3,7,Pre-2023
training program,3.242121632390961,1.829829405244472,4,10,2,9,Pre-2023
everyday life,3.142360487528579,1.1949915753034759,7,36,7,35,Pre-2023
engage children,3.130369632288878,2.2021655894715924,3,5,2,5,Pre-2023
scientific discovery,3.130369632288878,2.2021655894715924,3,5,1,4,Pre-2023
trust transparency,3.130369632288878,2.2021655894715924,3,5,1,4,Pre-2023
different aspects,3.130369632288878,2.2021655894715924,3,5,2,5,Pre-2023
basic understanding,3.042481939926255,1.6648762921853608,4,12,4,10,Pre-2023
real world,2.996196561585048,2.033529977231022,3,6,3,5,Pre-2023
construct validity,2.996196561585048,2.033529977231022,3,6,3,6,Pre-2023
behavioral intention,2.9557475971115674,1.1062570382198516,7,40,2,19,Pre-2023
young children,2.9115912429794304,1.085661206104171,7,41,3,19,Pre-2023
new technologies,2.880950442599454,1.3273667257440067,5,22,3,19,Pre-2023
middle school,2.8688180447183362,0.8089058613751652,11,91,10,45,Pre-2023
secondary school,2.8429112454330605,0.9032080571795289,9,66,5,40,Pre-2023
digital media,2.7471293459111203,1.770463440680091,3,8,2,8,Pre-2023
sheds light,2.633720974721337,1.6641523813587993,3,9,3,9,Pre-2023
better understand,2.633720974721337,1.6641523813587993,3,9,3,9,Pre-2023
societal implications,2.619922008103417,1.3567589696871183,4,17,3,15,Pre-2023
assessment criteria,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
need prepare,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
subject area,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
subject matter,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
rapidly advancing,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
including healthcare,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
critical discussion,2.610756880734609,2.2993373128986025,2,3,2,3,Pre-2023
primary school,2.5255678243612105,1.1218628826097907,5,28,4,16,Pre-2023
review existing,2.445479774863106,2.032778143624866,2,4,2,4,Pre-2023
