alpha0_multiplier,alpha0_value,term,z_score,log_odds_delta
0.25,2278.5,abilities,2.165973898996597,0.7222757876353993
0.25,2278.5,ability,3.8122674543560175,0.8424982234039442
0.25,2278.5,ability apply,1.404612935711137,1.535642158066322
0.25,2278.5,ability critically,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,ability evaluate,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,ability provide,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ability understand,-0.4841482876385398,-1.653288784969817
0.25,2278.5,able,3.3428797470303238,1.3511403101093649
0.25,2278.5,absence,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,absent,-0.382750038525471,-1.6532767335379805
0.25,2278.5,abstract,0.9665344365634286,0.680819082093505
0.25,2278.5,abstracts,-0.4841482876385398,-1.653288784969817
0.25,2278.5,academia,-0.8558966978866538,-1.6533570804594184
0.25,2278.5,academic,-4.8110950277698,-1.656425402005481
0.25,2278.5,academic achievement,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,academic backgrounds,-0.382750038525471,-1.6532767335379805
0.25,2278.5,academic contexts,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,academic databases,-0.382750038525471,-1.6532767335379805
0.25,2278.5,academic disciplines,-0.4841482876385398,-1.653288784969817
0.25,2278.5,academic dishonesty,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,academic environments,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,academic institutions,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,academic integrity,-1.8119749286994369,-1.6537067002891357
0.25,2278.5,academic librarians,-0.6171778896839791,-1.653308871165116
0.25,2278.5,academic libraries,-1.2695925122602403,-1.653477618679137
0.25,2278.5,academic library,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,academic misconduct,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,academic performance,-1.122547095685027,-1.653429400822306
0.25,2278.5,academic practice,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,academic practices,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,academic professional,-0.6629586218846464,-1.6533169058096906
0.25,2278.5,academic purposes,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,academic settings,-0.7057767780105082,-1.6533249405493873
0.25,2278.5,academic staff,-0.7461425639155154,-1.6533329753842079
0.25,2278.5,academic success,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,academic tasks,-0.6171778896839791,-1.653308871165116
0.25,2278.5,academic work,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,academic writing,-1.76274613790809,-1.6536825827942483
0.25,2278.5,academic year,-0.4841482876385398,-1.653288784969817
0.25,2278.5,academic years,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,academics,-0.10973011247600785,-0.0993511277482142
0.25,2278.5,accelerated,1.9865165996489673,1.535714777156759
0.25,2278.5,accelerating,-0.7262400778140753,-1.6533289579549049
0.25,2278.5,accept,-0.382750038525471,-1.6532767335379805
0.25,2278.5,acceptability,-0.6847023842147384,-1.653320923167648
0.25,2278.5,acceptable,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,acceptance,-2.6086383123205117,-1.6541892302137224
0.25,2278.5,acceptance tam,-0.7262400778140753,-1.6533289579549049
0.25,2278.5,acceptance technology,-0.8209432831779993,-1.6533490453392208
0.25,2278.5,accepted,1.1007830879299016,1.1514068362642682
0.25,2278.5,accepting,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,access,0.24518178807477123,0.08057908753740683
0.25,2278.5,access quality,-0.382750038525471,-1.6532767335379805
0.25,2278.5,access resources,-0.382750038525471,-1.6532767335379805
0.25,2278.5,access technologies,-0.4841482876385398,-1.653288784969817
0.25,2278.5,access technology,1.1007830879299016,1.1514068362642682
0.25,2278.5,access tools,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,accessed,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,accessibility,-1.08742674128129,-0.8225116748626959
0.25,2278.5,accessible,1.491235397105399,0.6631132619133684
0.25,2278.5,accessible engaging,1.1007830879299016,1.1514068362642682
0.25,2278.5,accommodate,-0.4841482876385398,-1.653288784969817
0.25,2278.5,accompanied,0.8691735023356172,0.8841035101390702
0.25,2278.5,accomplish,-0.382750038525471,-1.6532767335379805
0.25,2278.5,accordance,-0.382750038525471,-1.6532767335379805
0.25,2278.5,according,1.3254550546368207,0.658662836293173
0.25,2278.5,accordingly,-0.5677183279594726,-1.65330083661566
0.25,2278.5,account,2.1502266340657985,1.3233914829314415
0.25,2278.5,accountability,-1.2579947600373003,-1.6534736003935606
0.25,2278.5,accounted,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,accounting,-1.0552536529894694,-1.653409311059601
0.25,2278.5,accounts,-0.4841482876385398,-1.653288784969817
0.25,2278.5,accuracy,-1.859310963815467,-1.1623770700820204
0.25,2278.5,accuracy concerns,-0.382750038525471,-1.6532767335379805
0.25,2278.5,accuracy efficiency,-0.382750038525471,-1.6532767335379805
0.25,2278.5,accuracy reliability,-0.382750038525471,-1.6532767335379805
0.25,2278.5,accurate,0.086622027835759,0.08052068802687629
0.25,2278.5,accurately,-0.4841482876385398,-1.653288784969817
0.25,2278.5,achieve,0.875449592962966,0.4936581838087193
0.25,2278.5,achieved,1.4473633293016075,0.8467292891829867
0.25,2278.5,achievement,-0.802896419111638,-1.6533450278147956
0.25,2278.5,achieving,-0.27173192777549643,-0.2402246242029804
0.25,2278.5,acknowledge,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,acknowledged,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,acknowledges,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,acknowledging,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,acquire,0.2527192008737722,0.16803615258328541
0.25,2278.5,acquire necessary,-0.382750038525471,-1.6532767335379805
0.25,2278.5,acquiring,0.4602635304337535,0.4472693330191557
0.25,2278.5,acquisition,-0.24148617741010814,-0.21447475363220114
0.25,2278.5,act,-0.5430775094927168,-0.3334835868031778
0.25,2278.5,acting,-0.4841482876385398,-1.653288784969817
0.25,2278.5,action,-0.2043069778392697,-0.1301575733390692
0.25,2278.5,actionable,-1.3588193599424334,-1.653509765820191
0.25,2278.5,actionable insights,-0.9058025274173731,-1.653369133318085
0.25,2278.5,actionable recommendations,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,actionable strategies,-0.382750038525471,-1.6532767335379805
0.25,2278.5,actions,0.6985018312416825,0.481782798759129
0.25,2278.5,active,-0.6336880944797659,-0.38498549486512257
0.25,2278.5,active engagement,-0.382750038525471,-1.6532767335379805
0.25,2278.5,actively,-0.5312367017855538,-0.4498756202188936
0.25,2278.5,activities,5.6910630345836415,0.9735200177359387
0.25,2278.5,activities support,-0.382750038525471,-1.6532767335379805
0.25,2278.5,activity,0.888040871956976,0.43069114919671314
0.25,2278.5,actors,1.9865165996489673,1.535714777156759
0.25,2278.5,acts,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,actual,-0.4052278749491304,-0.25273697920020943
0.25,2278.5,actual usage,-0.4841482876385398,-1.653288784969817
0.25,2278.5,actually,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adapt,0.13001587212920027,0.06026148327257097
0.25,2278.5,adapt changing,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,adaptability,-0.9058025274173731,-1.653369133318085
0.25,2278.5,adaptable,-0.8386020351777179,-1.653353062887426
0.25,2278.5,adaptation,1.45325473295815,0.7273090807749414
0.25,2278.5,adaptations,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,adapted,-0.5537944681587362,-0.46709182712681674
0.25,2278.5,adapting,-0.27173192777549643,-0.2402246242029804
0.25,2278.5,adaptive,-0.9612443474070681,-0.56005132388339
0.25,2278.5,adaptive strategies,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,add,1.2413052113518008,1.3232542707439237
0.25,2278.5,adding,-0.5677183279594726,-1.65330083661566
0.25,2278.5,addition,-0.10623592186043737,-0.0559092716034435
0.25,2278.5,additional,0.7596720323278832,0.4251719144840358
0.25,2278.5,additionally,-1.8755207316144609,-1.1676093581100426
0.25,2278.5,additionally perceived,-0.382750038525471,-1.6532767335379805
0.25,2278.5,address,0.8859625373683693,0.21640768990056536
0.25,2278.5,address challenges,-0.8209432831779993,-1.6533490453392208
0.25,2278.5,address concerns,-0.382750038525471,-1.6532767335379805
0.25,2278.5,address diverse,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,address ethical,-0.6171778896839791,-1.653308871165116
0.25,2278.5,address gap,0.12251473117175087,0.08052902562811681
0.25,2278.5,address issues,1.2413052113518008,1.3232542707439237
0.25,2278.5,address need,1.6526678904013459,1.2332767432891778
0.25,2278.5,address unique,-0.382750038525471,-1.6532767335379805
0.25,2278.5,addressed,0.3095467109900814,0.16805252956872607
0.25,2278.5,addresses,-0.6955450133993821,-0.3477282705687381
0.25,2278.5,addresses challenges,-0.4841482876385398,-1.653288784969817
0.25,2278.5,addresses critical,-0.5677183279594726,-1.65330083661566
0.25,2278.5,addresses ethical,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,addresses gap,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,addresses gaps,1.1007830879299016,1.1514068362642682
0.25,2278.5,addresses need,-0.382750038525471,-1.6532767335379805
0.25,2278.5,addressing,-2.147084448732357,-1.0356511733535125
0.25,2278.5,addressing barriers,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,addressing challenges,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,addressing concerns,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,addressing ethical,-0.9058025274173731,-1.653369133318085
0.25,2278.5,addressing gap,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,addressing gaps,-0.4841482876385398,-1.653288784969817
0.25,2278.5,addressing issues,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,addressing limitations,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adds,0.0029901986209705076,0.0027494635254168287
0.25,2278.5,adept,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,adequate,-0.07366276582501892,-0.06703200421450362
0.25,2278.5,adequately,0.5287732509761435,0.5177955230436204
0.25,2278.5,adherence,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,adhering,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,adjust,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,adjusted,-0.382750038525471,-1.6532767335379805
0.25,2278.5,administered,-0.3010445777533565,-0.2649293397266881
0.25,2278.5,administration,-0.7461425639155154,-1.6533329753842079
0.25,2278.5,administrative,-0.8773448330063736,-0.6947657537042442
0.25,2278.5,administrative processes,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,administrative tasks,0.771657888395997,0.77628841732216
0.25,2278.5,administrators,-0.8209432831779993,-1.6533490453392208
0.25,2278.5,adolescents,-0.7057767780105082,-1.6533249405493873
0.25,2278.5,adopt,-0.44606155341315157,-0.2769496145434083
0.25,2278.5,adopt technologies,0.8691735023356172,0.8841035101390702
0.25,2278.5,adopted,1.5285519323545058,0.6809646722011538
0.25,2278.5,adopters,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,adopting,0.15006482729819304,0.08053736495712016
0.25,2278.5,adopting generative,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,adoption,-2.5827551243753675,-0.7178753026004872
0.25,2278.5,adoption addressing,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adoption challenges,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,adoption digital,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adoption genai,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,adoption generative,-0.7655279783074751,-1.6533369928372874
0.25,2278.5,adoption healthcare,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adoption higher,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,adoption intentions,-0.4841482876385398,-1.653288784969817
0.25,2278.5,adoption new,1.404612935711137,1.535642158066322
0.25,2278.5,adoption rates,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,adoption strategies,-0.382750038525471,-1.6532767335379805
0.25,2278.5,adoption technologies,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,adoption tools,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,adopts,-0.6629586218846464,-1.6533169058096906
0.25,2278.5,adult,1.9563021465764763,1.007708785543337
0.25,2278.5,adults,-0.8936791761826215,-0.7052734242238134
0.25,2278.5,advance,-0.597456751998838,-0.4999334945004943
0.25,2278.5,advanced,-0.9612443474070681,-0.56005132388339
0.25,2278.5,advanced technologies,-0.4841482876385398,-1.653288784969817
0.25,2278.5,advanced tools,-0.382750038525471,-1.6532767335379805
0.25,2278.5,advancement,0.028428867887815578,0.015118862682166778
0.25,2278.5,advancement generative,-0.382750038525471,-1.6532767335379805
0.25,2278.5,advancements,-1.5968951780069007,-1.6536062163799246
0.25,2278.5,advances,0.17555307735305564,0.09439303878566463
0.25,2278.5,advancing,0.5896750237286378,0.28112864594218845
0.25,2278.5,advantage,0.3965431081853249,0.3825795731949899
0.25,2278.5,advantages,-1.1483617288612695,-1.653437436893899
0.25,2278.5,advantages disadvantages,-0.382750038525471,-1.6532767335379805
0.25,2278.5,advent,-0.7655279783074751,-1.6533369928372874
0.25,2278.5,advent generative,-0.382750038525471,-1.6532767335379805
0.25,2278.5,advertising,-0.4841482876385398,-1.653288784969817
0.25,2278.5,advice,0.5287732509761435,0.5177955230436204
0.25,2278.5,advocacy,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,advocate,0.9083211845406296,0.6369044919002764
0.25,2278.5,advocates,-1.161054015463931,-1.6534414549653764
0.25,2278.5,advocating,-1.0412736359165435,-1.6534052931784142
0.25,2278.5,affect,0.8326705076236931,0.35827266733554985
0.25,2278.5,affected,1.0894671241049008,0.6228209415649619
0.25,2278.5,affecting,-0.8209432831779993,-1.6533490453392208
0.25,2278.5,affective,-0.4052278749491304,-0.25273697920020943
0.25,2278.5,affective behavioral,-0.6847023842147384,-1.653320923167648
0.25,2278.5,affective factors,-0.4841482876385398,-1.653288784969817
0.25,2278.5,affects,-0.6393321742382263,-0.5308259034184193
0.25,2278.5,affordance,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,affordances,0.875449592962966,0.4936581838087193
0.25,2278.5,affordances limitations,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,africa,-0.10973011247600785,-0.0993511277482142
0.25,2278.5,african,-0.8386020351777179,-1.653353062887426
0.25,2278.5,age,-0.019665663153312415,-0.006384638133994258
0.25,2278.5,age gender,-0.7461425639155154,-1.6533329753842079
0.25,2278.5,age generative,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,age group,1.1007830879299016,1.1514068362642682
0.25,2278.5,age groups,0.8691735023356172,0.8841035101390702
0.25,2278.5,age years,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,age-appropriate,0.33699305672399704,0.3229102106250483
0.25,2278.5,aged,0.004229242594447125,0.00274976465612653
0.25,2278.5,aged years,-0.382750038525471,-1.6532767335379805
0.25,2278.5,agencies,-0.382750038525471,-1.6532767335379805
0.25,2278.5,agency,-0.7400258216366966,-0.36838542342657554
0.25,2278.5,agenda,1.505645268050398,0.8842166187001315
0.25,2278.5,agendas,1.404612935711137,1.535642158066322
0.25,2278.5,agent,2.239615768083669,1.3888388436369823
0.25,2278.5,agents,5.132593954869288,1.6418602107497717
0.25,2278.5,ages,1.4473633293016075,0.8467292891829867
0.25,2278.5,agreed,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,agreement,-0.5677183279594726,-1.65330083661566
0.25,2278.5,ai-assisted,-1.5076511180112209,-1.0310372647872343
0.25,2278.5,ai-assisted writing,-0.802896419111638,-1.6533450278147956
0.25,2278.5,ai-augmented,-0.5677183279594726,-1.65330083661566
0.25,2278.5,ai-based,0.946748312858863,0.37246445508362935
0.25,2278.5,ai-based technologies,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ai-based tools,0.6028336651658286,0.5951877158097147
0.25,2278.5,ai-driven,-2.0602370963351797,-1.009097423783584
0.25,2278.5,ai-driven future,-0.03613253040283752,-0.033049494227741505
0.25,2278.5,ai-driven healthcare,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ai-driven tools,-0.7262400778140753,-1.6533289579549049
0.25,2278.5,ai-driven world,-0.8894782628515738,-1.6533651156747453
0.25,2278.5,ai-empowered,2.1169366722717973,1.6637164841098446
0.25,2278.5,ai-enabled,1.3040033372141802,0.9436653370979666
0.25,2278.5,ai-enhanced,0.22779526403109712,0.12294919833808216
0.25,2278.5,ai-focused,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,ai-generated,-2.245798261185604,-1.6539479223782108
0.25,2278.5,ai-generated content,-1.2104942552905904,-1.6534575274891576
0.25,2278.5,ai-generated images,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,ai-generated outputs,-0.6171778896839791,-1.653308871165116
0.25,2278.5,ai-generated responses,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ai-generated text,-0.4841482876385398,-1.653288784969817
0.25,2278.5,ai-human,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ai-infused,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,ai-integrated,-1.0412736359165435,-1.6534052931784142
0.25,2278.5,ai-literacy,1.4473633293016075,0.8467292891829867
0.25,2278.5,ai-literate,1.9865165996489673,1.535714777156759
0.25,2278.5,ai-mediated,-1.0552536529894694,-1.653409311059601
0.25,2278.5,ai-mediated informal,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,ai-powered,0.33340476428846705,0.15652338876219662
0.25,2278.5,ai-powered tools,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,ai-related,-0.3559775690413184,-0.15958296231289903
0.25,2278.5,ai-related competencies,0.5287732509761435,0.5177955230436204
0.25,2278.5,ai-related courses,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,ai-related training,-0.382750038525471,-1.6532767335379805
0.25,2278.5,ai-specific,0.771657888395997,0.77628841732216
0.25,2278.5,ai-supported,-1.0552536529894694,-1.653409311059601
0.25,2278.5,ai-tpack,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,aia,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,aid,-0.07366276582501892,-0.06703200421450362
0.25,2278.5,aiding,-0.382750038525471,-1.6532767335379805
0.25,2278.5,aids,-0.5135180536861812,-1.6532928021613191
