term,n_grams,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,log_odds_delta,z_score,associated_period,is_tech_name,side
machine,1,56,177,27,120,1.4078440756727284,9.839059759535255,Pre-2023,False,Pre-2023
children,1,64,343,22,93,0.9627943475604575,7.855415893371653,Pre-2023,False,Pre-2023
curriculum,1,60,341,26,222,0.9152643268674545,7.301375024910372,Pre-2023,False,Pre-2023
learn,1,29,94,17,79,1.384593424122758,6.993604467048252,Pre-2023,False,Pre-2023
smart,1,19,41,7,28,1.7442197341583343,6.629020915604902,Pre-2023,False,Pre-2023
book,1,16,27,3,14,1.966624777797115,6.532738333880536,Pre-2023,False,Pre-2023
health care,2,20,50,3,25,1.6126404139853054,6.462420931093218,Pre-2023,False,Pre-2023
people,1,29,112,14,85,1.2338463635254602,6.4189623894042676,Pre-2023,False,Pre-2023
e-learning,1,10,6,1,4,2.9146601332822915,5.913698664384303,Pre-2023,False,Pre-2023
design,1,88,819,42,499,0.540156737991901,5.687395075748142,Pre-2023,False,Pre-2023
intention learn,2,9,3,3,3,3.441031515262985,5.516224700869742,Pre-2023,False,Pre-2023
concepts,1,39,243,25,181,0.8412202015696773,5.4943707827639825,Pre-2023,False,Pre-2023
citizens,1,15,43,12,29,1.4913095719793974,5.303487937331447,Pre-2023,False,Pre-2023
game,1,18,64,4,27,1.3040845856226326,5.271495590417347,Pre-2023,False,Pre-2023
conversational,1,15,44,4,33,1.471113561600336,5.252744129383214,Pre-2023,False,Pre-2023
generative,1,5,1307,1,594,-0.6507348190846587,-5.005768826624322,2024-2025,True,2024-2025
genai,1,0,980,0,221,-0.7381125008056681,-4.713331294877047,2024-2025,True,2024-2025
chatgpt,1,0,808,0,287,-0.7376651968346222,-4.2771781802655084,2024-2025,True,2024-2025
academic,1,0,787,0,372,-0.7376106229428787,-4.220917826230591,2024-2025,False,2024-2025
integration,1,4,848,4,586,-0.6301734457961299,-3.9411963936167806,2024-2025,False,2024-2025
higher,1,10,803,8,419,-0.4753777848754197,-3.114254959730463,2024-2025,False,2024-2025
language,1,5,577,5,294,-0.547659043362767,-2.937922160437547,2024-2025,False,2024-2025
engagement,1,4,502,4,331,-0.5614815243726952,-2.7908449576448064,2024-2025,False,2024-2025
critical,1,23,1071,15,616,-0.32118013459250605,-2.614029457383551,2024-2025,False,2024-2025
critical thinking,2,1,341,1,206,-0.6682981193044473,-2.6010230674350345,2024-2025,False,2024-2025
nursing,1,0,295,0,55,-0.736334444663556,-2.5797551790211877,2024-2025,False,2024-2025
tools,1,30,1260,16,682,-0.2849928737799443,-2.559236662030993,2024-2025,False,2024-2025
integrating,1,3,387,3,330,-0.5656082022241309,-2.463280281878604,2024-2025,False,2024-2025
thinking,1,9,559,6,307,-0.40958963122774517,-2.3091809858494554,2024-2025,False,2024-2025
acceptance,1,0,232,0,112,-0.7361713647241501,-2.287258663595322,2024-2025,False,2024-2025
