term,associated_period,z_score,log_odds_delta,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,n_grams
machine,Pre-2023,9.84,1.408,56,177,27,120,1
children,Pre-2023,7.86,0.963,64,343,22,93,1
curriculum,Pre-2023,7.3,0.915,60,341,26,222,1
learn,Pre-2023,6.99,1.385,29,94,17,79,1
smart,Pre-2023,6.63,1.744,19,41,7,28,1
book,Pre-2023,6.53,1.967,16,27,3,14,1
health care,Pre-2023,6.46,1.613,20,50,3,25,2
people,Pre-2023,6.42,1.234,29,112,14,85,1
e-learning,Pre-2023,5.91,2.915,10,6,1,4,1
design,Pre-2023,5.69,0.54,88,819,42,499,1
intention learn,Pre-2023,5.52,3.441,9,3,3,3,2
concepts,Pre-2023,5.49,0.841,39,243,25,181,1
citizens,Pre-2023,5.3,1.491,15,43,12,29,1
game,Pre-2023,5.27,1.304,18,64,4,27,1
conversational,Pre-2023,5.25,1.471,15,44,4,33,1
generative,2024-2025,-5.01,-0.651,5,1307,1,594,1
genai,2024-2025,-4.71,-0.738,0,980,0,221,1
chatgpt,2024-2025,-4.28,-0.738,0,808,0,287,1
academic,2024-2025,-4.22,-0.738,0,787,0,372,1
integration,2024-2025,-3.94,-0.63,4,848,4,586,1
higher,2024-2025,-3.11,-0.475,10,803,8,419,1
language,2024-2025,-2.94,-0.548,5,577,5,294,1
engagement,2024-2025,-2.79,-0.561,4,502,4,331,1
critical,2024-2025,-2.61,-0.321,23,1071,15,616,1
critical thinking,2024-2025,-2.6,-0.668,1,341,1,206,2
nursing,2024-2025,-2.58,-0.736,0,295,0,55,1
tools,2024-2025,-2.56,-0.285,30,1260,16,682,1
integrating,2024-2025,-2.46,-0.566,3,387,3,330,1
thinking,2024-2025,-2.31,-0.41,9,559,6,307,1
acceptance,2024-2025,-2.29,-0.736,0,232,0,112,1
