term,associated_period,z_score,log_odds_delta,n_grams,count_pre_2023,count_2024_2025,doc_freq_pre_2023,n_pre_2023_docs,pct_pre_2023_docs_containing_term,doc_freq_2024_2025,n_2024_2025_docs,pct_2024_2025_docs_containing_term
machine,Pre-2023,9.84,1.408,1,56,177,27,106,25.5,120,1867,6.4
children,Pre-2023,7.86,0.963,1,64,343,22,106,20.8,93,1867,5.0
curriculum,Pre-2023,7.3,0.915,1,60,341,26,106,24.5,222,1867,11.9
learn,Pre-2023,6.99,1.385,1,29,94,17,106,16.0,79,1867,4.2
smart,Pre-2023,6.63,1.744,1,19,41,7,106,6.6,28,1867,1.5
book,Pre-2023,6.53,1.967,1,16,27,3,106,2.8,14,1867,0.7
health care,Pre-2023,6.46,1.613,2,20,50,3,106,2.8,25,1867,1.3
people,Pre-2023,6.42,1.234,1,29,112,14,106,13.2,85,1867,4.6
e-learning,Pre-2023,5.91,2.915,1,10,6,1,106,0.9,4,1867,0.2
design,Pre-2023,5.69,0.54,1,88,819,42,106,39.6,499,1867,26.7
intention learn,Pre-2023,5.52,3.441,2,9,3,3,106,2.8,3,1867,0.2
concepts,Pre-2023,5.49,0.841,1,39,243,25,106,23.6,181,1867,9.7
citizens,Pre-2023,5.3,1.491,1,15,43,12,106,11.3,29,1867,1.6
game,Pre-2023,5.27,1.304,1,18,64,4,106,3.8,27,1867,1.4
conversational,Pre-2023,5.25,1.471,1,15,44,4,106,3.8,33,1867,1.8
generative,2024-2025,-5.01,-0.651,1,5,1307,1,106,0.9,594,1867,31.8
genai,2024-2025,-4.71,-0.738,1,0,980,0,106,0.0,221,1867,11.8
chatgpt,2024-2025,-4.28,-0.738,1,0,808,0,106,0.0,287,1867,15.4
academic,2024-2025,-4.22,-0.738,1,0,787,0,106,0.0,372,1867,19.9
integration,2024-2025,-3.94,-0.63,1,4,848,4,106,3.8,586,1867,31.4
higher,2024-2025,-3.11,-0.475,1,10,803,8,106,7.5,419,1867,22.4
language,2024-2025,-2.94,-0.548,1,5,577,5,106,4.7,294,1867,15.7
engagement,2024-2025,-2.79,-0.561,1,4,502,4,106,3.8,331,1867,17.7
critical,2024-2025,-2.61,-0.321,1,23,1071,15,106,14.2,616,1867,33.0
critical thinking,2024-2025,-2.6,-0.668,2,1,341,1,106,0.9,206,1867,11.0
nursing,2024-2025,-2.58,-0.736,1,0,295,0,106,0.0,55,1867,2.9
tools,2024-2025,-2.56,-0.285,1,30,1260,16,106,15.1,682,1867,36.5
integrating,2024-2025,-2.46,-0.566,1,3,387,3,106,2.8,330,1867,17.7
thinking,2024-2025,-2.31,-0.41,1,9,559,6,106,5.7,307,1867,16.4
acceptance,2024-2025,-2.29,-0.736,1,0,232,0,106,0.0,112,1867,6.0
