Topic,Count,share_of_corpus,Name,top_words,Representation
0,263,0.1240566037735849,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,"['ai', 'literacy', 'ai literacy', 'education', 'ethical', 'learning', 'students', 'teachers', 'intelligence', 'artificial']"
1,246,0.1160377358490566,1_ai_learning_education_students,ai; learning; education; students; intelligence; artificial; artificial intelligence; teachers; teaching; literacy,"['ai', 'learning', 'education', 'students', 'intelligence', 'artificial', 'artificial intelligence', 'teachers', 'teaching', 'literacy']"
2,195,0.09198113207547169,2_genai_generative_ai_generative ai,genai; generative; ai; generative ai; learning; students; education; literacy; generative artificial; generative artificial intelligence,"['genai', 'generative', 'ai', 'generative ai', 'learning', 'students', 'education', 'literacy', 'generative artificial', 'generative artificial intelligence']"
3,192,0.09056603773584905,3_ai_human_literacy_intelligence,ai; human; literacy; intelligence; study; ai literacy; artificial intelligence; artificial; decision; systems,"['ai', 'human', 'literacy', 'intelligence', 'study', 'ai literacy', 'artificial intelligence', 'artificial', 'decision', 'systems']"
4,191,0.0900943396226415,4_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; teachers; study; artificial; education; intelligence; artificial intelligence,"['ai', 'literacy', 'ai literacy', 'students', 'teachers', 'study', 'artificial', 'education', 'intelligence', 'artificial intelligence']"
5,180,0.08490566037735849,5_ai_children_design_learning,ai; children; design; learning; literacy; ai literacy; students; game; understanding; activities,"['ai', 'children', 'design', 'learning', 'literacy', 'ai literacy', 'students', 'game', 'understanding', 'activities']"
6,173,0.08160377358490566,6_ai_healthcare_health_medical,ai; healthcare; health; medical; care; clinical; intelligence; artificial; artificial intelligence; nursing,"['ai', 'healthcare', 'health', 'medical', 'care', 'clinical', 'intelligence', 'artificial', 'artificial intelligence', 'nursing']"
7,168,0.07924528301886792,7_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; study; self; efficacy; intention; self efficacy; factors,"['ai', 'literacy', 'ai literacy', 'students', 'study', 'self', 'efficacy', 'intention', 'self efficacy', 'factors']"
8,153,0.07216981132075471,8_ai_education_higher education_higher,ai; education; higher education; higher; students; academic; learning; artificial; study; artificial intelligence,"['ai', 'education', 'higher education', 'higher', 'students', 'academic', 'learning', 'artificial', 'study', 'artificial intelligence']"
9,145,0.06839622641509434,9_writing_ai_students_language,writing; ai; students; language; critical; genai; generative; generative ai; literacy; academic,"['writing', 'ai', 'students', 'language', 'critical', 'genai', 'generative', 'generative ai', 'literacy', 'academic']"
10,117,0.05518867924528302,10_chatgpt_students_ai_study,chatgpt; students; ai; study; use; education; learning; using; literacy; academic,"['chatgpt', 'students', 'ai', 'study', 'use', 'education', 'learning', 'using', 'literacy', 'academic']"
11,97,0.04575471698113207,11_libraries_ai_library_librarians,libraries; ai; library; librarians; literacy; academic; information; ai literacy; research; intelligence,"['libraries', 'ai', 'library', 'librarians', 'literacy', 'academic', 'information', 'ai literacy', 'research', 'intelligence']"
