Topic,Count,share_of_corpus,Name,top_words,Representation
0,268,0.12641509433962264,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,"['understanding', 'future', 'educators', 'ethical', 'competencies', '12', 'children', 'curriculum', 'assessment', 'school']"
1,260,0.12264150943396226,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,"['self', 'factors', 'efficacy', 'self efficacy', 'intention', 'perceived', 'technology', 'anxiety', 'scale', 'acceptance']"
2,258,0.12169811320754717,2_ethical_higher_integration_educators,ethical; higher; integration; educators; critical; ethics; challenges; digital; professional; academic,"['ethical', 'higher', 'integration', 'educators', 'critical', 'ethics', 'challenges', 'digital', 'professional', 'academic']"
3,241,0.11367924528301887,3_genai_generative_tools_critical,genai; generative; tools; critical; writing; generative genai; higher; assessment; gai; challenges,"['genai', 'generative', 'tools', 'critical', 'writing', 'generative genai', 'higher', 'assessment', 'gai', 'challenges']"
4,235,0.11084905660377359,4_school_design_curriculum_machine,school; design; curriculum; machine; 12; course; ml; understanding; science; concepts,"['school', 'design', 'curriculum', 'machine', '12', 'course', 'ml', 'understanding', 'science', 'concepts']"
5,220,0.10377358490566038,5_chatgpt_writing_language_critical,chatgpt; writing; language; critical; tools; academic; generative; genai; llms; prompt,"['chatgpt', 'writing', 'language', 'critical', 'tools', 'academic', 'generative', 'genai', 'llms', 'prompt']"
6,188,0.08867924528301886,6_human_decision_systems_ethical,human; decision; systems; ethical; public; making; decision making; trust; digital; users,"['human', 'decision', 'systems', 'ethical', 'public', 'making', 'decision making', 'trust', 'digital', 'users']"
7,187,0.08820754716981132,7_children_design_understanding_activities,children; design; understanding; activities; game; creative; young; technology; systems; generative,"['children', 'design', 'understanding', 'activities', 'game', 'creative', 'young', 'technology', 'systems', 'generative']"
8,173,0.08160377358490566,8_healthcare_health_medical_care,healthcare; health; medical; care; clinical; nursing; ethical; patient; professionals; health care,"['healthcare', 'health', 'medical', 'care', 'clinical', 'nursing', 'ethical', 'patient', 'professionals', 'health care']"
9,90,0.04245283018867924,9_libraries_library_librarians_academic,libraries; library; librarians; academic; information; academic libraries; lis; tools; services; ethical,"['libraries', 'library', 'librarians', 'academic', 'information', 'academic libraries', 'lis', 'tools', 'services', 'ethical']"
