topic,short_label,count,x,y
0,Educator readiness / ethics,268,0.04736363,0.09358054
1,Self-efficacy / adoption,260,-0.026391758,0.34825802
2,Higher-ed integration / ethics,258,0.05692925,0.025412858
3,GenAI instructional integration,241,0.22931883,-0.08756285
4,School curriculum / STEM,235,0.20737746,-0.09347383
5,ChatGPT / writing / prompting,220,0.22740337,-0.053444687
6,Human decision-making / trust,188,-0.29334193,0.07047061
7,Children / creative learning,187,0.17967619,-0.1706008
8,Healthcare / medical AI literacy,173,-0.43019152,-0.34463954
9,Libraries / information services,90,-0.1981437,0.21199952
