topic_a,topic_b,centroid_cosine_similarity
0,2,0.93045825
0,4,0.91818464
2,4,0.9127437
3,5,0.8960549
2,3,0.8913806
4,7,0.8849061
3,4,0.8834822
0,7,0.86530083
0,1,0.8641389
0,3,0.8595631
3,7,0.8550053
4,5,0.8333252
0,6,0.8322038
2,5,0.8283866
2,7,0.8271959
0,5,0.8217154
0,9,0.82061577
1,2,0.81968087
2,6,0.81789416
2,9,0.80811745
6,9,0.8065201
5,7,0.8029378
6,7,0.7893487
1,4,0.7792002
1,6,0.77483016
1,3,0.77278405
6,8,0.76914084
1,5,0.7578098
3,9,0.75194395
3,6,0.7480163
2,8,0.7474354
4,6,0.74521
4,9,0.740044
0,8,0.7367301
5,9,0.7313088
5,6,0.72685605
7,9,0.7244344
1,9,0.71947396
4,8,0.70899004
1,7,0.6956764
3,8,0.6940158
8,9,0.6778343
7,8,0.66735625
5,8,0.6621857
1,8,0.6516632
