topic_a,topic_b,jaccard_overlap,shared_words
3,5,0.3333333333333333,critical; genai; generative; tools; writing
0,4,0.25,12; curriculum; school; understanding
2,3,0.17647058823529413,challenges; critical; higher
2,5,0.1111111111111111,academic; critical
2,6,0.1111111111111111,digital; ethical
0,2,0.1111111111111111,educators; ethical
2,9,0.1111111111111111,academic; ethical
0,7,0.1111111111111111,children; understanding
5,9,0.1111111111111111,academic; tools
4,7,0.1111111111111111,design; understanding
3,7,0.05263157894736842,generative
2,8,0.05263157894736842,ethical
3,9,0.05263157894736842,tools
6,7,0.05263157894736842,systems
6,8,0.05263157894736842,ethical
6,9,0.05263157894736842,ethical
5,7,0.05263157894736842,generative
8,9,0.05263157894736842,ethical
1,7,0.05263157894736842,technology
0,3,0.05263157894736842,assessment
0,6,0.05263157894736842,ethical
0,8,0.05263157894736842,ethical
0,9,0.05263157894736842,ethical
2,4,0.0,
1,2,0.0,
7,9,0.0,
7,8,0.0,
0,5,0.0,
5,8,0.0,
5,6,0.0,
4,9,0.0,
4,8,0.0,
4,6,0.0,
1,9,0.0,
4,5,0.0,
1,3,0.0,
3,8,0.0,
1,4,0.0,
3,6,0.0,
1,5,0.0,
3,4,0.0,
1,6,0.0,
2,7,0.0,
1,8,0.0,
0,1,0.0,
