Year,topic,manual_topic_label,n,year_total,topic_share
2016,4,"School curriculum, machine learning, and STEM-oriented AI education",1,1,1.0
2018,0,"AI literacy competencies, educator readiness, and ethical understanding",1,2,0.5
2018,4,"School curriculum, machine learning, and STEM-oriented AI education",1,2,0.5
2019,0,"AI literacy competencies, educator readiness, and ethical understanding",2,6,0.3333333333333333
2019,4,"School curriculum, machine learning, and STEM-oriented AI education",1,6,0.16666666666666666
2019,7,"Children, games, creative activities, and experiential AI learning",2,6,0.3333333333333333
2019,8,Healthcare and medical AI literacy,1,6,0.16666666666666666
2020,0,"AI literacy competencies, educator readiness, and ethical understanding",2,11,0.18181818181818182
2020,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",3,11,0.2727272727272727
2020,4,"School curriculum, machine learning, and STEM-oriented AI education",3,11,0.2727272727272727
2020,6,"Human decision-making, trust, and public-facing AI systems",1,11,0.09090909090909091
2020,7,"Children, games, creative activities, and experiential AI learning",1,11,0.09090909090909091
2020,8,Healthcare and medical AI literacy,1,11,0.09090909090909091
2021,0,"AI literacy competencies, educator readiness, and ethical understanding",10,42,0.23809523809523808
2021,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",1,42,0.023809523809523808
2021,2,"Higher education integration, ethics, and professional practice",2,42,0.047619047619047616
2021,4,"School curriculum, machine learning, and STEM-oriented AI education",12,42,0.2857142857142857
2021,5,"ChatGPT, writing, language learning, and prompting",1,42,0.023809523809523808
2021,6,"Human decision-making, trust, and public-facing AI systems",6,42,0.14285714285714285
2021,7,"Children, games, creative activities, and experiential AI learning",8,42,0.19047619047619047
2021,8,Healthcare and medical AI literacy,2,42,0.047619047619047616
2022,0,"AI literacy competencies, educator readiness, and ethical understanding",10,44,0.22727272727272727
2022,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",1,44,0.022727272727272728
2022,2,"Higher education integration, ethics, and professional practice",1,44,0.022727272727272728
2022,4,"School curriculum, machine learning, and STEM-oriented AI education",15,44,0.3409090909090909
2022,6,"Human decision-making, trust, and public-facing AI systems",4,44,0.09090909090909091
2022,7,"Children, games, creative activities, and experiential AI learning",8,44,0.18181818181818182
2022,8,Healthcare and medical AI literacy,5,44,0.11363636363636363
2023,0,"AI literacy competencies, educator readiness, and ethical understanding",32,147,0.21768707482993196
2023,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",6,147,0.04081632653061224
2023,2,"Higher education integration, ethics, and professional practice",13,147,0.08843537414965986
2023,3,Generative AI literacy and instructional tool integration,11,147,0.07482993197278912
2023,4,"School curriculum, machine learning, and STEM-oriented AI education",29,147,0.19727891156462585
2023,5,"ChatGPT, writing, language learning, and prompting",12,147,0.08163265306122448
2023,6,"Human decision-making, trust, and public-facing AI systems",8,147,0.05442176870748299
2023,7,"Children, games, creative activities, and experiential AI learning",23,147,0.1564625850340136
2023,8,Healthcare and medical AI literacy,9,147,0.061224489795918366
2023,9,"Libraries, librarians, and information services",4,147,0.027210884353741496
2024,0,"AI literacy competencies, educator readiness, and ethical understanding",81,550,0.14727272727272728
2024,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",46,550,0.08363636363636363
2024,2,"Higher education integration, ethics, and professional practice",74,550,0.13454545454545455
2024,3,Generative AI literacy and instructional tool integration,73,550,0.13272727272727272
2024,4,"School curriculum, machine learning, and STEM-oriented AI education",63,550,0.11454545454545455
2024,5,"ChatGPT, writing, language learning, and prompting",61,550,0.11090909090909092
2024,6,"Human decision-making, trust, and public-facing AI systems",47,550,0.08545454545454545
2024,7,"Children, games, creative activities, and experiential AI learning",54,550,0.09818181818181818
2024,8,Healthcare and medical AI literacy,26,550,0.04727272727272727
2024,9,"Libraries, librarians, and information services",25,550,0.045454545454545456
2025,0,"AI literacy competencies, educator readiness, and ethical understanding",130,1317,0.09870918754745633
2025,1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",203,1317,0.15413819286256644
2025,2,"Higher education integration, ethics, and professional practice",168,1317,0.1275626423690205
2025,3,Generative AI literacy and instructional tool integration,157,1317,0.11921032649962035
2025,4,"School curriculum, machine learning, and STEM-oriented AI education",110,1317,0.08352315869400152
2025,5,"ChatGPT, writing, language learning, and prompting",146,1317,0.1108580106302202
2025,6,"Human decision-making, trust, and public-facing AI systems",122,1317,0.0926347760060744
2025,7,"Children, games, creative activities, and experiential AI learning",91,1317,0.06909643128321943
2025,8,Healthcare and medical AI literacy,129,1317,0.0979498861047836
2025,9,"Libraries, librarians, and information services",61,1317,0.0463173880030372
